metric_id,sprint,track,value,confidence
broker_translation_debt,1,A,1.7857142857142856,1.0
broker_translation_debt,2,A,0.0,1.0
broker_translation_debt,3,A,0.847457627118644,1.0
broker_translation_debt,4,A,0.0,1.0
broker_translation_debt,5,A,0.0,1.0
broker_translation_debt,6,A,0.0,1.0
broker_translation_debt,7,A,0.0,1.0
broker_translation_debt,8,A,0.8333333333333334,1.0
broker_translation_debt,9,A,0.0,1.0
broker_translation_debt,10,A,0.819672131147541,1.0
broker_translation_debt,11,A,0.0,1.0
broker_translation_debt,12,A,0.8849557522123894,1.0
broker_translation_debt,13,A,0.0,1.0
broker_translation_debt,14,A,0.8695652173913043,1.0
broker_translation_debt,15,A,0.0,1.0
broker_translation_debt,16,A,1.8691588785046727,1.0
risk_selection_accuracy,1,A,92.0,1.0
risk_selection_accuracy,2,A,100.0,1.0
risk_selection_accuracy,3,A,96.0,1.0
risk_selection_accuracy,4,A,100.0,1.0
risk_selection_accuracy,5,A,100.0,1.0
risk_selection_accuracy,6,A,100.0,1.0
risk_selection_accuracy,7,A,100.0,1.0
risk_selection_accuracy,8,A,96.0,1.0
risk_selection_accuracy,9,A,100.0,1.0
risk_selection_accuracy,10,A,96.0,1.0
risk_selection_accuracy,11,A,100.0,1.0
risk_selection_accuracy,12,A,96.0,1.0
risk_selection_accuracy,13,A,100.0,1.0
risk_selection_accuracy,14,A,96.0,1.0
risk_selection_accuracy,15,A,100.0,1.0
risk_selection_accuracy,16,A,92.0,1.0
policy_bind_rate,1,A,72.0,1.0
policy_bind_rate,2,A,88.0,1.0
policy_bind_rate,3,A,80.0,1.0
policy_bind_rate,4,A,96.0,1.0
policy_bind_rate,5,A,80.0,1.0
policy_bind_rate,6,A,96.0,1.0
policy_bind_rate,7,A,100.0,1.0
policy_bind_rate,8,A,88.0,1.0
policy_bind_rate,9,A,84.0,1.0
policy_bind_rate,10,A,92.0,1.0
policy_bind_rate,11,A,92.0,1.0
policy_bind_rate,12,A,76.0,1.0
policy_bind_rate,13,A,76.0,1.0
policy_bind_rate,14,A,80.0,1.0
policy_bind_rate,15,A,92.0,1.0
policy_bind_rate,16,A,64.0,1.0
uw_cycle_time,1,A,3.9960714285714283,1.0
uw_cycle_time,2,A,4.310833333333334,1.0
uw_cycle_time,3,A,4.0974576271186445,1.0
uw_cycle_time,4,A,4.244,1.0
uw_cycle_time,5,A,3.961896551724138,1.0
uw_cycle_time,6,A,4.204677419354839,1.0
uw_cycle_time,7,A,4.323333333333333,1.0
uw_cycle_time,8,A,4.323333333333333,1.0
uw_cycle_time,9,A,4.2593220338983055,1.0
uw_cycle_time,10,A,4.110655737704918,1.0
uw_cycle_time,11,A,4.090163934426229,1.0
uw_cycle_time,12,A,4.052920353982301,1.0
uw_cycle_time,13,A,4.287826086956522,1.0
uw_cycle_time,14,A,4.1,1.0
uw_cycle_time,15,A,4.377851239669422,1.0
uw_cycle_time,16,A,3.9874766355140188,1.0
actuarial_signoff_time,1,A,0.0,1.0
actuarial_signoff_time,2,A,0.0,1.0
actuarial_signoff_time,3,A,0.0,1.0
actuarial_signoff_time,4,A,0.0,1.0
actuarial_signoff_time,5,A,0.0,1.0
actuarial_signoff_time,6,A,0.0,1.0
actuarial_signoff_time,7,A,0.0,1.0
actuarial_signoff_time,8,A,0.0,1.0
actuarial_signoff_time,9,A,0.0,1.0
actuarial_signoff_time,10,A,0.0,1.0
actuarial_signoff_time,11,A,0.0,1.0
actuarial_signoff_time,12,A,0.0,1.0
actuarial_signoff_time,13,A,0.0,1.0
actuarial_signoff_time,14,A,0.0,1.0
actuarial_signoff_time,15,A,0.0,1.0
actuarial_signoff_time,16,A,0.0,1.0
subrogation_recovery_dollars,1,A,3204.563274574952,1.0
subrogation_recovery_dollars,2,A,7298.4741546978485,1.0
subrogation_recovery_dollars,3,A,29259.875472529362,1.0
subrogation_recovery_dollars,4,A,11853.098314513285,1.0
subrogation_recovery_dollars,5,A,9430.068414653519,1.0
subrogation_recovery_dollars,6,A,11524.263322196603,1.0
subrogation_recovery_dollars,7,A,19524.751437444625,1.0
subrogation_recovery_dollars,8,A,1801.80417843328,1.0
subrogation_recovery_dollars,9,A,4896.51300069907,1.0
subrogation_recovery_dollars,10,A,18616.597618673597,1.0
subrogation_recovery_dollars,11,A,22687.49123706621,1.0
subrogation_recovery_dollars,12,A,23106.979176936897,1.0
subrogation_recovery_dollars,13,A,7738.891043775059,1.0
subrogation_recovery_dollars,14,A,10424.368869449578,1.0
subrogation_recovery_dollars,15,A,551.0699436935731,1.0
subrogation_recovery_dollars,16,A,25587.421554518998,1.0
subro_missed_opportunity_rate,1,A,0.0,1.0
subro_missed_opportunity_rate,2,A,16.666666666666664,1.0
subro_missed_opportunity_rate,3,A,14.285714285714285,1.0
subro_missed_opportunity_rate,4,A,14.285714285714285,1.0
subro_missed_opportunity_rate,5,A,0.0,1.0
subro_missed_opportunity_rate,6,A,0.0,1.0
subro_missed_opportunity_rate,7,A,0.0,1.0
subro_missed_opportunity_rate,8,A,33.33333333333333,1.0
subro_missed_opportunity_rate,9,A,0.0,1.0
subro_missed_opportunity_rate,10,A,0.0,1.0
subro_missed_opportunity_rate,11,A,11.11111111111111,1.0
subro_missed_opportunity_rate,12,A,0.0,1.0
subro_missed_opportunity_rate,13,A,0.0,1.0
subro_missed_opportunity_rate,14,A,0.0,1.0
subro_missed_opportunity_rate,15,A,100.0,1.0
subro_missed_opportunity_rate,16,A,12.5,1.0
subro_file_completeness,1,A,40.0,1.0
subro_file_completeness,2,A,44.44444444444444,1.0
subro_file_completeness,3,A,66.66666666666666,1.0
subro_file_completeness,4,A,88.88888888888889,1.0
subro_file_completeness,5,A,71.42857142857143,1.0
subro_file_completeness,6,A,57.14285714285714,1.0
subro_file_completeness,7,A,60.0,1.0
subro_file_completeness,8,A,66.66666666666666,1.0
subro_file_completeness,9,A,60.0,1.0
subro_file_completeness,10,A,62.5,1.0
subro_file_completeness,11,A,50.0,1.0
subro_file_completeness,12,A,60.0,1.0
subro_file_completeness,13,A,55.55555555555556,1.0
subro_file_completeness,14,A,50.0,1.0
subro_file_completeness,15,A,66.66666666666666,1.0
subro_file_completeness,16,A,66.66666666666666,1.0
translation_debt_index,1,A,24.774774774774773,1.0
translation_debt_index,2,A,25.229357798165136,1.0
translation_debt_index,3,A,37.9746835443038,1.0
translation_debt_index,4,A,25.333333333333336,1.0
translation_debt_index,5,A,27.27272727272727,1.0
translation_debt_index,6,A,21.568627450980394,1.0
translation_debt_index,7,A,21.656050955414013,1.0
translation_debt_index,8,A,14.935064935064934,1.0
translation_debt_index,9,A,10.256410256410255,1.0
translation_debt_index,10,A,2.6143790849673203,1.0
translation_debt_index,11,A,1.2658227848101267,1.0
translation_debt_index,12,A,0.0,1.0
translation_debt_index,13,A,4.666666666666667,1.0
translation_debt_index,14,A,2.564102564102564,1.0
translation_debt_index,15,A,2.666666666666667,1.0
translation_debt_index,16,A,2.013422818791946,1.0
exception_rate,1,A,8.108108108108109,1.0
exception_rate,2,A,6.422018348623854,1.0
exception_rate,3,A,7.59493670886076,1.0
exception_rate,4,A,5.333333333333334,1.0
exception_rate,5,A,5.194805194805195,1.0
exception_rate,6,A,5.88235294117647,1.0
exception_rate,7,A,6.369426751592357,1.0
exception_rate,8,A,7.142857142857142,1.0
exception_rate,9,A,8.333333333333332,1.0
exception_rate,10,A,3.9215686274509802,1.0
exception_rate,11,A,4.430379746835443,1.0
exception_rate,12,A,2.666666666666667,1.0
exception_rate,13,A,6.666666666666667,1.0
exception_rate,14,A,4.487179487179487,1.0
exception_rate,15,A,5.333333333333334,1.0
exception_rate,16,A,6.7114093959731544,1.0
handoff_failure_rate,1,A,64.0,1.0
handoff_failure_rate,2,A,64.0,1.0
handoff_failure_rate,3,A,80.0,1.0
handoff_failure_rate,4,A,60.0,1.0
handoff_failure_rate,5,A,60.0,1.0
handoff_failure_rate,6,A,64.0,1.0
handoff_failure_rate,7,A,68.0,1.0
handoff_failure_rate,8,A,64.0,1.0
handoff_failure_rate,9,A,60.0,1.0
handoff_failure_rate,10,A,16.0,1.0
handoff_failure_rate,11,A,8.0,1.0
handoff_failure_rate,12,A,0.0,1.0
handoff_failure_rate,13,A,24.0,1.0
handoff_failure_rate,14,A,16.0,1.0
handoff_failure_rate,15,A,16.0,1.0
handoff_failure_rate,16,A,12.0,1.0
cycle_time,1,A,6.55927927927928,1.0
cycle_time,2,A,6.710642201834863,1.0
cycle_time,3,A,5.8491139240506325,1.0
cycle_time,4,A,4.996666666666666,1.0
cycle_time,5,A,5.440259740259741,1.0
cycle_time,6,A,5.058954248366013,1.0
cycle_time,7,A,5.469681528662421,1.0
cycle_time,8,A,4.719220779220779,1.0
cycle_time,9,A,5.558589743589744,1.0
cycle_time,10,A,4.515294117647059,1.0
cycle_time,11,A,5.124556962025316,1.0
cycle_time,12,A,4.6499999999999995,1.0
cycle_time,13,A,4.333333333333333,1.0
cycle_time,14,A,5.065897435897436,1.0
cycle_time,15,A,4.496666666666667,1.0
cycle_time,16,A,4.568053691275168,1.0
ai_cycle_time,1,A,0.0,1.0
ai_cycle_time,2,A,0.0,1.0
ai_cycle_time,3,A,0.0,1.0
ai_cycle_time,4,A,0.0,1.0
ai_cycle_time,5,A,0.0,1.0
ai_cycle_time,6,A,0.0,1.0
ai_cycle_time,7,A,0.0,1.0
